BENIDORM CHESS OPEN A;;;;;;
Benidorm (Alicante), 2023-10-29 - 2023-11-05;;;;;;
;;;;;;
Ranking inicial   ;;;;;;
Ran.;T’t.;Nombre;Fed.;FIDE;FIDE ID;Info
1;GM;Sonis, Francesco;ITA;2564;895733;H
2;GM;Richter, Michael;GER;2432;4618920;
3;FM;Dauner, Benedikt;GER;2389;16225899;H
4;FM;Olsson, William;SWE;2378;1741721;H
5;IM;Carlsson, Ludvig;SWE;2356;1727010;H
6;GM;Arkell, Keith C;ENG;2355;400270;H
7;IM;Vestby-Ellingsen, Mads;NOR;2343;1520857;H
8;FM;Kanov, Nikola;BUL;2339;2928531;H
9;FM;Ilinca, Felix-Antonio;ROU;2331;54764998;CVH
10;IM;Ramoutar, Alan-Safar;TTO;2330;7704224;H
11;FM;Cappelletto, Joshuaede;ITA;2329;2824383;
12;FM;Yordanov, Lachezar;BUL;2323;2918927;H
13;FM;Ezra Paul Chambers;BDI;2313;20300204;H
14;IM;Morchiashvili, Bachana;GEO;2308;13602535;H
15;FM;Chkhaidze, Nikoloz;GEO;2262;13601750;H
16;FM;Mingarro Carceller, Sergi;ESP;2253;2246678;CVH
17;;Jordan Martinez, Miguel;ESP;2212;2283972;CVH
18;FM;Rey Malde, Henrique;ESP;2207;2244969;H
19;;Hercegovac, Neven;ITA;2207;2839135;
20;FM;Webb, Laurence E;ENG;2204;402389;H
21;FM;Ibanez Aullana, Ramon;ESP;2198;2207532;CVH
22;WIM;Balabayeva, Xeniya;KAZ;2192;13719688;H
23;FM;Torres Sanchez, Jose;ESP;2187;2217210;CVH
24;FM;Nava Pereda, Carlos;ESP;2182;2207419;H
25;;Mueller, Magnus;GER;2180;16230060;H
26;IM;Mannion, Stephen R;SCO;2179;2400111;H
27;FM;Krishnan, Ritvik;IND;2176;45055297;H
28;WGM;Grabuzova, Tatiana;ESP;2173;4108752;CV
29;;Torres Rebolledo, Victor;ESP;2164;24591629;H
30;FM;Roulet-Dubonnet, Emerik Vapensta;NOR;2164;1539477;H
31;;Nied, Pascal;GER;2151;16260597;H
32;;Castro Quijano, Eduardo;ESP;2127;24507407;H
33;;Jordan Martinez, David;ESP;2120;2283964;CVH
34;;Torres Rebolledo, Alvaro;ESP;2113;54587670;H
35;;Horcajada Reales, Guillermo;ESP;2110;2221470;H
36;;Palomo Teruel, Xavier;ESP;2094;2202999;H
37;CM;Uran Bermudez, Oliver Kevin;VEN;2083;3903354;CVH
38;;Atienza Alvarez, Javier;ESP;2082;24511668;CV
39;;Floris, Federico;ITA;2081;898287;H
40;;Holand, Per Fredrik;NOR;2069;1534084;H
41;;Pedersen, Max Moe;NOR;2064;1532596;H
42;;Sendra Tormo, Juan;ESP;2057;32049072;CVH
43;;Bevia Martinez, Luis;ESP;2033;2201216;CV
44;;Lopez Martinez, Jaime;ESP;2020;32042043;CV
45;CM;Mompel Ferruz, Xavier;ESP;2019;54585775;H
46;;Gonzalez Aguirre, Luis;ESP;2008;2202000;CVH
47;;Nesse, David;NOR;2005;1519875;H
48;;Troffiguer, Olivier;FRA;1996;607835;H
49;;Unhjem, Bjorn Robert Lovoll;NOR;1990;1525948;H
50;;Fernandez Vazquez, Jorge;ESP;1970;22222294;H
51;;Hernandez Tellez, Claudia;ESP;1969;24542393;H
52;;Bascunana Sanchez, Pablo;ESP;1961;54701031;CV
53;;Amundsen, Ask;NOR;1956;1528726;H
54;;Draghici Flutur, Gavril;ESP;1955;1206508;H
55;;Blanco Sanchez, Jose Fernando;ESP;1953;2203332;
56;;Wiesmann, Dominique;SUI;1940;1308262;H
57;FM;Kandic, Milan;SRB;1927;926752;H
58;;Rutherford, William;SCO;1926;2401045;H
59;WCM;Andrzejewska, Anna;POL;1918;1127284;H
60;;Ghita, Vlad-Bogdan;ROU;1914;1222198;H
61;;Doll, Rebecca;GER;1896;16236890;H
62;;Fox, Anthony;IRL;1883;2500736;H
63;;Gasland, Lukas Dominik;NOR;1867;1557882;H
64;;Lilliehook, Victor;SWE;1852;1752103;H
65;;Teply Koutsky, David;ESP;1833;24597171;H
66;;Szelag, Zuzanna;POL;1811;1195522;H
67;;Halvorsen, Benjamin;NOR;1801;1516604;H
68;;Daksh Jain;IND;1735;25969269;H
