BENIDORM CHESS OPEN B Sub-2000;;;;;;
Benidorm (Alicante), 2023-10-29 - 2023-11-05;;;;;;
;;;;;;
Ranking inicial   ;;;;;;
Ran.;Tít.;Nombre;Fed.;FIDE;FIDE ID;Info
1;;Aguado Crespo, Antonio;ESP;1971;22275290;CV
2;;Lloret Climent, Miguel;ESP;1954;2206439;CV
3;;Perez Garcia, Jose Miguel;ESP;1950;2227657;CVH
4;;Hassomal Daswani, Birjkumar;ESP;1945;2224356;CVH
5;;Navarro Rico, Lluis;ESP;1937;32045913;CV
6;;Robledo Sanchez, Saul;ESP;1926;24554650;CV
7;;Bote Kobolo, Benjamin E.;ESP;1923;2289440;H
8;;Camison Zornoza, Cesar;ESP;1923;24580376;CVH
9;;Oreshkin, Vladislav;ESP;1920;54535603;CV
10;;Machin Arbelo, Pedro Alexis;ESP;1918;2260972;H
11;;Perez Garcia, Juan Angel;ESP;1918;2211262;H
12;;Zamora Soler, Raul;ESP;1918;2273225;CV
13;;Vallbona Domingo, Joan;ESP;1915;2291487;H
14;;Ruiz Ureta, Ernesto;ESP;1911;22229833;H
15;;Hushpit, Lukian ..;IRL;1910;14189208;
16;;Stolp, Aleksander;NOR;1888;1541501;H
17;;Reig Albero, Ferran;ESP;1884;2207516;CVH
18;;Cafolla, Peter;IRL;1881;2500884;H
19;;Hall, Rachid;ESP;1875;22224327;H
20;;Nguyen, Khoi;BEL;1875;272540;H
21;;Rodriguez Lopez, Ruben;ESP;1874;2298295;
22;;Selva Salvador, Antonio;ESP;1871;2223821;CVH
23;;Viciano Barrachina, Aitor;ESP;1865;2246872;CVH
24;;Salter, David;IRL;1855;2501988;H
25;;Blasco Marques, Salvador;ESP;1852;2208644;CVH
26;;Roca Cruz, Rafael;ESP;1845;32022450;CVH
27;;Fernandez Lopez, Francisco J.;ESP;1835;2212323;CV
28;;Gimeno Simo, Sergio ..;ESP;1834;22293965;CVH
29;;Codina Garcia, Jose;ESP;1832;2206340;H
30;;Fernandez Perez, Josep;ESP;1831;32023910;H
31;;Williams, Duncan;WLS;1831;1805592;H
32;;Rios Garcia, Miguel;ESP;1829;2219000;CVH
33;;Rodriguez Perez, Mauro;ESP;1829;2256371;H
