BENIDORM CHESS OPEN A;
Benidorm (Alicante), 2023-10-29 - 2023-11-05;
;
Clasificación   ;
Pos.;Ran.
1;1
2;8
3;9
4;5
5;14
6;6
7;10
8;19
9;22
10;3
11;15
12;12
13;11
14;4
15;13
16;18
17;24
18;7
19;23
20;27
21;28
22;34
23;21
24;16
25;35
26;32
27;29
28;30
29;38
30;45
31;40
32;20
33;26
34;31
35;53
36;36
37;17
38;68
39;33
40;50
41;39
42;42
43;62
44;57
45;47
46;51
47;48
48;37
49;41
50;43
51;25
52;56
53;64
54;55
55;66
56;49
57;65
58;60
59;46
60;52
61;63
62;58
63;67
64;59
65;54
66;61
67;44
68;2
