BENIDORM CHESS OPEN B Sub-2000;
Benidorm (Alicante), 2023-10-29 - 2023-11-05;
;
Clasificación   ;
Pos.;Ran.
1;5
2;11
3;15
4;21
5;66
6;37
7;7
8;38
9;35
10;6
11;17
12;20
13;3
14;2
15;49
16;34
17;47
18;40
19;26
20;16
21;96
22;18
23;9
24;1
25;36
26;42
27;33
28;46
29;14
30;10
31;27
32;23
33;13
34;41
35;28
36;60
37;8
38;43
39;45
40;12
41;31
42;30
43;50
44;83
45;74
46;109
47;22
48;4
49;32
50;62
51;48
52;54
53;53
54;24
55;29
56;64
57;58
58;100
59;91
60;39
61;44
62;19
63;51
64;61
65;55
66;70
67;25
68;94
69;63
70;76
71;77
72;113
73;65
74;99
75;93
76;52
77;89
78;101
79;69
80;79
81;59
82;90
83;71
84;106
85;73
86;84
87;95
88;103
89;57
90;68
91;81
92;111
93;110
94;102
95;97
96;92
97;105
98;75
99;82
100;80
101;98
102;112
103;56
104;78
105;88
106;104
107;85
108;114
109;107
110;87
111;108
112;67
113;72
114;86
